model,difficulty,precision,recall,f1,n
Llama-4-Maverick-17B-128E-Instruct-FP8,easy,0.5404042274509804,0.7781718745098039,0.621529294117647,12750.0
Llama-4-Maverick-17B-128E-Instruct-FP8,hard,0.6782120342105263,0.7383257605263158,0.687494507894737,38000.0
Llama-4-Maverick-17B-128E-Instruct-FP8,medium,0.6386093583828774,0.755488114625446,0.6760328447086803,210250.0
Llama-4-Scout-17B-16E-Instruct,easy,0.4847133803921569,0.5588142117647059,0.5065813803921568,12750.0
Llama-4-Scout-17B-16E-Instruct,hard,0.5721904578947368,0.5506559684210527,0.5425994105263158,38000.0
Llama-4-Scout-17B-16E-Instruct,medium,0.5544276976190476,0.5734969747619048,0.547624947142857,210000.0
claude-haiku-4-5,easy,0.7000180549019609,0.49082112941176465,0.5670074352941176,12750.0
claude-haiku-4-5,hard,0.8267112921052632,0.4059227236842105,0.5389178421052631,38000.0
claude-haiku-4-5,medium,0.7885415096313912,0.45689786634958396,0.5716401393579071,210250.0
gemini-3.1-flash-lite,easy,0.8028769098039216,0.7947846352941177,0.7965364784313725,12750.0
gemini-3.1-flash-lite,hard,0.8095566315789474,0.80627405,0.8059429342105263,38000.0
gemini-3.1-flash-lite,medium,0.8038516922711058,0.791469498216409,0.7953379966706301,210250.0
gpt-5-mini,easy,0.8596588,0.5230899843137256,0.6378334745098039,12750.0
gpt-5-mini,hard,0.8749436842105264,0.4800795263157894,0.6082923289473685,38000.0
gpt-5-mini,medium,0.8662137959571937,0.4775315048751487,0.6064105003567181,210250.0
