mbe_id,model,threshold,mean_variant_f1,sd_variant_f1,min_variant_f1,max_variant_f1,variant_f1_range
mbe_198,gemini-3.1-flash-lite,0.85,0.441646,0.353091534125517,0.0,1.0,1.0
mbe_198,gemini-3.1-flash-lite,0.75,0.46874400000000005,0.3412926922159336,0.0,1.0,1.0
mbe_198,gemini-3.1-flash-lite,0.8,0.441646,0.353091534125517,0.0,1.0,1.0
mbe_198,gemini-3.1-flash-lite,0.9,0.43238000000000004,0.34410027091597073,0.0,0.9666599999999999,0.9666599999999999
mbe_198,gemini-3.1-flash-lite,0.7,0.574074,0.27995884920625186,0.10716,1.0,0.89284
mbe_571,Llama-4-Scout-17B-16E-Instruct,0.7,0.624946,0.3057603789534834,0.0,0.8795400000000001,0.8795400000000001
mbe_1002,Llama-4-Scout-17B-16E-Instruct,0.7,0.5159100000000001,0.2794416538186261,0.0,0.8702799999999999,0.8702799999999999
mbe_1002,Llama-4-Scout-17B-16E-Instruct,0.75,0.482746,0.2742326537084889,0.0,0.84806,0.84806
mbe_1146,gemini-3.1-flash-lite,0.75,0.29989,0.3431201812452567,0.0,0.84182,0.84182
mbe_494,Llama-4-Scout-17B-16E-Instruct,0.7,0.565186,0.3347279921302602,0.0,0.8338000000000001,0.8338000000000001
mbe_1143,Llama-4-Scout-17B-16E-Instruct,0.7,0.41640999999999995,0.3073312768188606,0.0,0.81638,0.81638
mbe_1146,gemini-3.1-flash-lite,0.7,0.4646,0.3127423022944681,0.06795999999999999,0.88182,0.81386
mbe_1002,Llama-4-Scout-17B-16E-Instruct,0.8,0.43227200000000005,0.24916208240152968,0.0,0.8023,0.8023
mbe_1002,Llama-4-Scout-17B-16E-Instruct,0.85,0.427812,0.2471930765301578,0.0,0.8023,0.8023
mbe_1002,Llama-4-Scout-17B-16E-Instruct,0.9,0.411922,0.2461999610885428,0.0,0.8023,0.8023
mbe_476,Llama-4-Scout-17B-16E-Instruct,0.7,0.591228,0.23194514221159182,0.0,0.80142,0.80142
mbe_401,Llama-4-Scout-17B-16E-Instruct,0.7,0.56999,0.27181438507432487,0.0,0.8011800000000001,0.8011800000000001
mbe_1143,Llama-4-Scout-17B-16E-Instruct,0.75,0.399882,0.2956485842572789,0.0,0.79532,0.79532
mbe_494,Llama-4-Scout-17B-16E-Instruct,0.75,0.527666,0.3149320549014413,0.0,0.7853,0.7853
mbe_324,Llama-4-Scout-17B-16E-Instruct,0.75,0.471678,0.2796780293996811,0.0,0.78386,0.78386
mbe_324,Llama-4-Scout-17B-16E-Instruct,0.7,0.477832,0.28181827402305437,0.0,0.78386,0.78386
mbe_1143,Llama-4-Scout-17B-16E-Instruct,0.8,0.375462,0.27605899328464806,0.0,0.77428,0.77428
mbe_72,Llama-4-Scout-17B-16E-Instruct,0.9,0.74685,0.22451878441581571,0.20106000000000002,0.96844,0.76738
mbe_927,Llama-4-Scout-17B-16E-Instruct,0.8,0.551046,0.2250139766621917,0.0,0.7666600000000001,0.7666600000000001
mbe_927,Llama-4-Scout-17B-16E-Instruct,0.7,0.5709380000000001,0.232469664343544,0.0,0.7666600000000001,0.7666600000000001
mbe_927,Llama-4-Scout-17B-16E-Instruct,0.9,0.50753,0.22360849124207147,0.0,0.7666600000000001,0.7666600000000001
mbe_927,Llama-4-Scout-17B-16E-Instruct,0.85,0.548188,0.223017016430984,0.0,0.7666600000000001,0.7666600000000001
mbe_927,Llama-4-Scout-17B-16E-Instruct,0.75,0.551046,0.2250139766621917,0.0,0.7666600000000001,0.7666600000000001
mbe_769,Llama-4-Scout-17B-16E-Instruct,0.7,0.319718,0.2260373271927547,0.0,0.7621,0.7621
mbe_812,Llama-4-Scout-17B-16E-Instruct,0.7,0.597944,0.2508572369208342,0.11764,0.8764800000000001,0.7588400000000002
mbe_1094,Llama-4-Scout-17B-16E-Instruct,0.7,0.647262,0.27948909157007656,0.16,0.9158,0.7557999999999999
mbe_16,Llama-4-Scout-17B-16E-Instruct,0.7,0.67736,0.2255963935881955,0.11112,0.86406,0.75294
mbe_737,Llama-4-Scout-17B-16E-Instruct,0.7,0.355038,0.2647263864529648,0.06666,0.81884,0.7521800000000001
mbe_1031,Llama-4-Scout-17B-16E-Instruct,0.7,0.5435540000000001,0.24205462414734222,0.0,0.75164,0.75164
mbe_702,Llama-4-Scout-17B-16E-Instruct,0.7,0.538428,0.26034533531019477,0.0,0.74952,0.74952
mbe_702,Llama-4-Scout-17B-16E-Instruct,0.75,0.526222,0.25396686160906023,0.0,0.74952,0.74952
mbe_476,Llama-4-Scout-17B-16E-Instruct,0.75,0.567562,0.22361911853268124,0.0,0.7481,0.7481
mbe_1031,Llama-4-Scout-17B-16E-Instruct,0.75,0.505378,0.2276785094918808,0.0,0.74738,0.74738
mbe_1031,Llama-4-Scout-17B-16E-Instruct,0.8,0.474384,0.22061772303139104,0.0,0.74738,0.74738
mbe_320,Llama-4-Scout-17B-16E-Instruct,0.7,0.387,0.27402687589196634,0.0,0.7409600000000001,0.7409600000000001
mbe_320,Llama-4-Scout-17B-16E-Instruct,0.75,0.348956,0.259620902394241,0.0,0.7409600000000001,0.7409600000000001
mbe_324,Llama-4-Scout-17B-16E-Instruct,0.8,0.416886,0.2547898384595081,0.0,0.74028,0.74028
mbe_401,Llama-4-Scout-17B-16E-Instruct,0.75,0.509432,0.23518680314450752,0.0,0.735,0.735
mbe_571,Llama-4-Scout-17B-16E-Instruct,0.75,0.4965400000000001,0.24696867439684195,0.0,0.73322,0.73322
mbe_319,Llama-4-Scout-17B-16E-Instruct,0.7,0.264228,0.21767993062190086,0.0,0.7278800000000001,0.7278800000000001
mbe_1146,gemini-3.1-flash-lite,0.8,0.20563199999999998,0.32291945555096757,0.0,0.72728,0.72728
mbe_737,Llama-4-Scout-17B-16E-Instruct,0.75,0.315104,0.23610930741690148,0.02222,0.74824,0.72602
mbe_1031,Llama-4-Scout-17B-16E-Instruct,0.85,0.47216199999999997,0.21765467827118568,0.0,0.72516,0.72516
mbe_1094,Llama-4-Scout-17B-16E-Instruct,0.75,0.58579,0.25537553232663285,0.13999999999999999,0.8631599999999999,0.7231599999999999
mbe_806,Llama-4-Scout-17B-16E-Instruct,0.7,0.581588,0.2977209130414292,0.15,0.8676400000000001,0.7176400000000001
mbe_589,Llama-4-Scout-17B-16E-Instruct,0.9,0.37027200000000005,0.20756873179209284,0.075,0.78666,0.7116600000000001
mbe_806,Llama-4-Scout-17B-16E-Instruct,0.75,0.550656,0.2872186595300212,0.13334,0.8441000000000001,0.7107600000000001
mbe_1143,Llama-4-Scout-17B-16E-Instruct,0.85,0.339628,0.2516168419023037,0.0,0.70994,0.70994
mbe_571,Llama-4-Scout-17B-16E-Instruct,0.8,0.45671,0.23141559733278325,0.0,0.70972,0.70972
mbe_1028,Llama-4-Scout-17B-16E-Instruct,0.7,0.205206,0.21743773178646902,0.11432,0.82312,0.7088
mbe_1028,Llama-4-Scout-17B-16E-Instruct,0.75,0.205206,0.21743773178646902,0.11432,0.82312,0.7088
mbe_16,Llama-4-Scout-17B-16E-Instruct,0.75,0.6197100000000001,0.21660377738575523,0.08888,0.7960800000000001,0.7072000000000002
mbe_247,Llama-4-Scout-17B-16E-Instruct,0.7,0.492198,0.2215423694515842,0.125,0.82926,0.70426
mbe_720,Llama-4-Scout-17B-16E-Instruct,0.7,0.599024,0.2714755193055577,0.12632000000000002,0.8304,0.70408
mbe_401,Llama-4-Scout-17B-16E-Instruct,0.8,0.4816,0.2237226207208878,0.0,0.6995199999999999,0.6995199999999999
mbe_28,Llama-4-Scout-17B-16E-Instruct,0.9,0.371244,0.2046407520618619,0.0,0.69526,0.69526
