mbe_id,model,threshold,mean_variant_f1,sd_variant_f1,min_variant_f1,max_variant_f1,variant_f1_range
mbe_0,Llama-4-Maverick-17B-128E-Instruct-FP8,0.7,0.942202,0.02927222642711006,0.8897,0.9764800000000001,0.08678000000000008
mbe_0,Llama-4-Maverick-17B-128E-Instruct-FP8,0.75,0.87346,0.028287152953632898,0.8397,0.9249,0.08520000000000005
mbe_0,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8,0.788978,0.035151565730893626,0.7230399999999999,0.84824,0.1252000000000001
mbe_0,Llama-4-Maverick-17B-128E-Instruct-FP8,0.85,0.62986,0.041517158969381435,0.5661799999999999,0.6911799999999999,0.125
mbe_0,Llama-4-Maverick-17B-128E-Instruct-FP8,0.9,0.599984,0.05950700336001542,0.51764,0.6911799999999999,0.17353999999999992
mbe_0,Llama-4-Scout-17B-16E-Instruct,0.7,0.6232800000000001,0.0949842429037575,0.46571999999999997,0.76,0.29428000000000004
mbe_0,Llama-4-Scout-17B-16E-Instruct,0.75,0.511054,0.12525794897818748,0.31048,0.70834,0.39786
mbe_0,Llama-4-Scout-17B-16E-Instruct,0.8,0.432158,0.15290463097412496,0.20524,0.65834,0.45310000000000006
mbe_0,Llama-4-Scout-17B-16E-Instruct,0.85,0.403612,0.16685183985267357,0.14851999999999999,0.65834,0.50982
mbe_0,Llama-4-Scout-17B-16E-Instruct,0.9,0.373546,0.17946715429601906,0.07352,0.63334,0.55982
mbe_0,claude-haiku-4-5,0.7,0.7176020000000001,0.04300700661261808,0.6409800000000001,0.7905800000000001,0.14959999999999996
mbe_0,claude-haiku-4-5,0.75,0.6222000000000001,0.037609930130810425,0.5753600000000001,0.68354,0.10817999999999994
mbe_0,claude-haiku-4-5,0.8,0.568344,0.043435951110674345,0.5130600000000001,0.63422,0.12115999999999993
mbe_0,claude-haiku-4-5,0.85,0.495566,0.06628421501383269,0.4039,0.58236,0.17846
mbe_0,claude-haiku-4-5,0.9,0.38579600000000003,0.11032796877189993,0.21896,0.521,0.30204000000000003
mbe_0,gemini-3.1-flash-lite,0.7,0.892938,0.049118331902548204,0.81096,0.94474,0.13378
mbe_0,gemini-3.1-flash-lite,0.75,0.8872220000000001,0.04885254316136806,0.81096,0.94474,0.13378
mbe_0,gemini-3.1-flash-lite,0.8,0.8283739999999999,0.042942601535848564,0.7538400000000001,0.91616,0.1623199999999999
mbe_0,gemini-3.1-flash-lite,0.85,0.7327220000000001,0.028803469621249127,0.68718,0.7771399999999999,0.08995999999999993
mbe_0,gemini-3.1-flash-lite,0.9,0.480138,0.05552696037862049,0.39049999999999996,0.5562,0.16570000000000007
mbe_0,gpt-5-mini,0.7,0.92104,0.024027521257461742,0.88582,0.96722,0.08139999999999992
mbe_0,gpt-5-mini,0.75,0.9118980000000001,0.029984561138470346,0.86582,0.95056,0.08473999999999993
mbe_0,gpt-5-mini,0.8,0.8607039999999999,0.06361468020651978,0.73898,0.9331799999999999,0.19419999999999993
mbe_0,gpt-5-mini,0.85,0.6938920000000001,0.09428103436004506,0.5082800000000001,0.78392,0.2756399999999999
mbe_0,gpt-5-mini,0.9,0.431402,0.08050773127815462,0.3008,0.53126,0.23045999999999994
mbe_1,Llama-4-Maverick-17B-128E-Instruct-FP8,0.7,0.876146,0.021957765622009715,0.8454599999999999,0.90998,0.06452000000000013
mbe_1,Llama-4-Maverick-17B-128E-Instruct-FP8,0.75,0.8429080000000001,0.02288755935728696,0.8087,0.87636,0.06766000000000005
mbe_1,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8,0.8299100000000001,0.032710111586480406,0.75704,0.87636,0.11931999999999998
mbe_1,Llama-4-Maverick-17B-128E-Instruct-FP8,0.85,0.701178,0.05506688494710573,0.6039,0.77118,0.16727999999999998
mbe_1,Llama-4-Maverick-17B-128E-Instruct-FP8,0.9,0.6759700000000001,0.04798230437706524,0.6039,0.735,0.1311
mbe_1,Llama-4-Scout-17B-16E-Instruct,0.7,0.7968080000000001,0.0566798621499147,0.6480400000000001,0.85294,0.20489999999999997
mbe_1,Llama-4-Scout-17B-16E-Instruct,0.75,0.637138,0.07408183550041876,0.46487999999999996,0.73056,0.26568
mbe_1,Llama-4-Scout-17B-16E-Instruct,0.8,0.5893079999999999,0.0797980362888433,0.39412,0.6848,0.29067999999999994
mbe_1,Llama-4-Scout-17B-16E-Instruct,0.85,0.579748,0.07814638127684904,0.39412,0.6848,0.29067999999999994
mbe_1,Llama-4-Scout-17B-16E-Instruct,0.9,0.5629679999999999,0.08495952772415291,0.39412,0.66258,0.2684599999999999
mbe_1,claude-haiku-4-5,0.7,0.898652,0.0519765795121012,0.81214,0.9564999999999999,0.14435999999999993
mbe_1,claude-haiku-4-5,0.75,0.861162,0.0618902329038184,0.74546,0.93912,0.19365999999999994
mbe_1,claude-haiku-4-5,0.8,0.7145900000000001,0.08341141795008905,0.5772600000000001,0.8522000000000001,0.27493999999999996
mbe_1,claude-haiku-4-5,0.85,0.42039600000000005,0.08269839165438601,0.32464000000000004,0.5518,0.22715999999999992
mbe_1,claude-haiku-4-5,0.9,0.10459399999999999,0.048791130387032894,0.0174,0.18478,0.16738
mbe_1,gemini-3.1-flash-lite,0.7,0.9847279999999999,0.01213541813590838,0.9712799999999999,1.0,0.02872000000000008
mbe_1,gemini-3.1-flash-lite,0.75,0.973296,0.018112752536388377,0.94284,1.0,0.05715999999999999
mbe_1,gemini-3.1-flash-lite,0.8,0.939194,0.02731932982747238,0.8856999999999999,0.97142,0.08572000000000002
mbe_1,gemini-3.1-flash-lite,0.85,0.924908,0.03978745888398058,0.8571199999999999,0.97142,0.11430000000000007
mbe_1,gemini-3.1-flash-lite,0.9,0.87666,0.0624588589926735,0.7142799999999999,0.91618,0.20190000000000008
mbe_1,gpt-5-mini,0.7,0.894088,0.02689976158506487,0.8446200000000001,0.93244,0.0878199999999999
mbe_1,gpt-5-mini,0.75,0.89255,0.02608762030798002,0.8446200000000001,0.93244,0.0878199999999999
mbe_1,gpt-5-mini,0.8,0.881828,0.02715800876353053,0.8298,0.92444,0.09464000000000006
mbe_1,gpt-5-mini,0.85,0.786318,0.04366420395091005,0.7081799999999999,0.83984,0.1316600000000001
mbe_1,gpt-5-mini,0.9,0.538196,0.05969044278609428,0.43554000000000004,0.61252,0.17697999999999992
mbe_10,Llama-4-Maverick-17B-128E-Instruct-FP8,0.7,0.73673,0.03586514897656375,0.67274,0.7731600000000001,0.10042000000000006
mbe_10,Llama-4-Maverick-17B-128E-Instruct-FP8,0.75,0.673056,0.03369290040613567,0.6164799999999999,0.7227,0.10622000000000009
mbe_10,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8,0.656076,0.03235599590664937,0.6157600000000001,0.7089399999999999,0.09317999999999982
mbe_10,Llama-4-Maverick-17B-128E-Instruct-FP8,0.85,0.535588,0.029900209140851636,0.50306,0.59352,0.0904600000000001
mbe_10,Llama-4-Maverick-17B-128E-Instruct-FP8,0.9,0.21491600000000002,0.02825999418101694,0.16734,0.26586000000000004,0.09852000000000005
mbe_10,Llama-4-Scout-17B-16E-Instruct,0.7,0.858384,0.04204753796465248,0.7964,0.9279400000000001,0.1315400000000001
mbe_10,Llama-4-Scout-17B-16E-Instruct,0.75,0.8340820000000001,0.04515993056780415,0.76974,0.9029400000000001,0.1332000000000001
mbe_10,Llama-4-Scout-17B-16E-Instruct,0.8,0.645096,0.05694981400808572,0.5381400000000001,0.73088,0.1927399999999999
mbe_10,Llama-4-Scout-17B-16E-Instruct,0.85,0.56707,0.05524064546247728,0.45570000000000005,0.6294,0.1736999999999999
mbe_10,Llama-4-Scout-17B-16E-Instruct,0.9,0.500876,0.06266553956433225,0.37502,0.5673,0.19228
mbe_10,claude-haiku-4-5,0.7,0.73276,0.017481950056494774,0.70912,0.7643,0.05518000000000001
mbe_10,claude-haiku-4-5,0.75,0.659312,0.037918960604601676,0.6,0.702,0.10199999999999998
mbe_10,claude-haiku-4-5,0.8,0.605228,0.06572265173523593,0.46208,0.68184,0.21976
mbe_10,claude-haiku-4-5,0.85,0.432796,0.06723383526502447,0.3015,0.51764,0.21614
mbe_10,claude-haiku-4-5,0.9,0.250146,0.049012607040320635,0.15908,0.3255,0.16642
mbe_10,gemini-3.1-flash-lite,0.7,0.920538,0.030686712940800782,0.8628600000000001,0.95792,0.09505999999999992
mbe_10,gemini-3.1-flash-lite,0.75,0.8161720000000001,0.03579802874771491,0.7672399999999999,0.8794000000000001,0.11216000000000015
mbe_10,gemini-3.1-flash-lite,0.8,0.767354,0.02574653383359486,0.72026,0.78828,0.06801999999999997
mbe_10,gemini-3.1-flash-lite,0.85,0.7498900000000001,0.02637202094813535,0.70292,0.78788,0.08496000000000004
mbe_10,gemini-3.1-flash-lite,0.9,0.65306,0.07802792947257911,0.50658,0.75678,0.2502
mbe_10,gpt-5-mini,0.7,0.755498,0.016198407191929644,0.7371399999999999,0.7731600000000001,0.03602000000000016
mbe_10,gpt-5-mini,0.75,0.753594,0.017449098161987323,0.73508,0.7731600000000001,0.038080000000000114
mbe_10,gpt-5-mini,0.8,0.722912,0.04719666014549005,0.6349,0.7731600000000001,0.13826000000000005
mbe_10,gpt-5-mini,0.85,0.620424,0.02848602589184934,0.56286,0.67882,0.11595999999999995
mbe_10,gpt-5-mini,0.9,0.39966599999999997,0.06377697881419805,0.2924,0.48224,0.18984
mbe_100,Llama-4-Maverick-17B-128E-Instruct-FP8,0.7,0.9158100000000001,0.02274739985141163,0.88422,0.9474,0.06318000000000001
mbe_100,Llama-4-Maverick-17B-128E-Instruct-FP8,0.75,0.835784,0.022306343492379005,0.7999799999999999,0.8631599999999999,0.06318000000000001
mbe_100,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8,0.789454,0.0361311869596213,0.7157600000000001,0.8421,0.1263399999999999
mbe_100,Llama-4-Maverick-17B-128E-Instruct-FP8,0.85,0.736806,0.014033335075217592,0.7157600000000001,0.75786,0.042099999999999915
mbe_100,Llama-4-Maverick-17B-128E-Instruct-FP8,0.9,0.6337,0.0119479761187129,0.6105400000000001,0.6526400000000001,0.042100000000000026
mbe_100,Llama-4-Scout-17B-16E-Instruct,0.7,0.72671,0.025740617708205866,0.6911799999999999,0.77142,0.08024000000000009
mbe_100,Llama-4-Scout-17B-16E-Instruct,0.75,0.7064999999999999,0.03593751490820948,0.6493,0.77142,0.12212
mbe_100,Llama-4-Scout-17B-16E-Instruct,0.8,0.694148,0.055615449652052645,0.57578,0.77142,0.19564000000000004
mbe_100,Llama-4-Scout-17B-16E-Instruct,0.85,0.56555,0.04925648090465973,0.48834,0.64286,0.15452
mbe_100,Llama-4-Scout-17B-16E-Instruct,0.9,0.5602159999999999,0.05532828876603519,0.48263999999999996,0.64286,0.16022000000000003
mbe_100,claude-haiku-4-5,0.7,0.585152,0.017768111761117332,0.56168,0.60724,0.045560000000000045
mbe_100,claude-haiku-4-5,0.75,0.567366,0.0118357839715932,0.5544399999999999,0.58586,0.031420000000000115
mbe_100,claude-haiku-4-5,0.8,0.5533279999999999,0.015541160259846185,0.53,0.58184,0.05184
mbe_100,claude-haiku-4-5,0.85,0.506062,0.021008261761083967,0.48,0.55644,0.07644000000000006
mbe_100,claude-haiku-4-5,0.9,0.485492,0.025627277481447594,0.44989999999999997,0.53064,0.08074000000000003
mbe_100,gemini-3.1-flash-lite,0.7,0.925562,0.03589479126558614,0.8767400000000001,0.97896,0.10221999999999998
mbe_100,gemini-3.1-flash-lite,0.75,0.8707040000000001,0.024670320089802845,0.8355600000000001,0.90948,0.07391999999999987
mbe_100,gemini-3.1-flash-lite,0.8,0.830176,0.04188320034466212,0.76736,0.8968399999999999,0.12947999999999982
mbe_100,gemini-3.1-flash-lite,0.85,0.7747780000000001,0.05659667948642296,0.69368,0.87578,0.18210000000000004
mbe_100,gemini-3.1-flash-lite,0.9,0.695298,0.06799971401900648,0.59368,0.83368,0.24
mbe_100,gpt-5-mini,0.7,0.721366,0.01799387562477854,0.69094,0.7383599999999999,0.04741999999999991
mbe_100,gpt-5-mini,0.75,0.7160719999999999,0.02150400314153414,0.6785599999999999,0.7383599999999999,0.059799999999999964
mbe_100,gpt-5-mini,0.8,0.6910879999999999,0.030308064493354433,0.64298,0.7383599999999999,0.09537999999999991
mbe_100,gpt-5-mini,0.85,0.5493680000000001,0.038740201571207354,0.46837999999999996,0.61346,0.14508000000000004
mbe_100,gpt-5-mini,0.9,0.359666,0.05937316344761982,0.25823999999999997,0.43507999999999997,0.17684
mbe_1000,Llama-4-Maverick-17B-128E-Instruct-FP8,0.7,0.877404,0.02249243191238633,0.8571,0.92286,0.06576000000000004
mbe_1000,Llama-4-Maverick-17B-128E-Instruct-FP8,0.75,0.875498,0.021790473861555026,0.8571,0.92286,0.06576000000000004
mbe_1000,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8,0.758652,0.04920239668959229,0.67332,0.80762,0.13429999999999997
mbe_1000,Llama-4-Maverick-17B-128E-Instruct-FP8,0.85,0.6704800000000001,0.04908283882037252,0.57142,0.73048,0.15905999999999998
mbe_1000,Llama-4-Maverick-17B-128E-Instruct-FP8,0.9,0.609234,0.05909528730975274,0.49524,0.71142,0.21618000000000004
mbe_1000,Llama-4-Scout-17B-16E-Instruct,0.7,0.87034,0.04025130832932291,0.7891,0.91238,0.12327999999999995
mbe_1000,Llama-4-Scout-17B-16E-Instruct,0.75,0.795078,0.030717214066383055,0.7309,0.8514200000000001,0.12052000000000007
mbe_1000,Llama-4-Scout-17B-16E-Instruct,0.8,0.753366,0.0383559006615091,0.67142,0.79142,0.12
mbe_1000,Llama-4-Scout-17B-16E-Instruct,0.85,0.6936340000000001,0.05328893656285512,0.61238,0.7679400000000001,0.15556000000000003
mbe_1000,Llama-4-Scout-17B-16E-Instruct,0.9,0.576988,0.059290246677772475,0.47817999999999994,0.6666799999999999,0.1885
mbe_1000,claude-haiku-4-5,0.7,0.582092,0.016241196452916343,0.55436,0.59738,0.04302000000000006
mbe_1000,claude-haiku-4-5,0.75,0.566254,0.030926121357555052,0.5,0.59738,0.09738000000000002
mbe_1000,claude-haiku-4-5,0.8,0.550456,0.02836380604455852,0.48788,0.58526,0.09738000000000002
mbe_1000,claude-haiku-4-5,0.85,0.502866,0.03885757589511272,0.43902,0.55762,0.11859999999999998
mbe_1000,claude-haiku-4-5,0.9,0.428554,0.07174946661822651,0.28104,0.50532,0.22427999999999998
mbe_1000,gemini-3.1-flash-lite,0.7,0.8530760000000001,0.024009855013676706,0.82574,0.8946799999999999,0.06893999999999989
mbe_1000,gemini-3.1-flash-lite,0.75,0.795234,0.03320940971070305,0.7413399999999999,0.8293200000000001,0.08798000000000017
mbe_1000,gemini-3.1-flash-lite,0.8,0.763208,0.03205301608273394,0.72,0.8293200000000001,0.10932000000000008
mbe_1000,gemini-3.1-flash-lite,0.85,0.731388,0.04285338539718889,0.66734,0.81332,0.14598
mbe_1000,gemini-3.1-flash-lite,0.9,0.61975,0.059602900190436285,0.544,0.716,0.17199999999999993
mbe_1000,gpt-5-mini,0.7,0.465536,0.010875668255330335,0.44804000000000005,0.48284000000000005,0.0348
mbe_1000,gpt-5-mini,0.75,0.465536,0.010875668255330335,0.44804000000000005,0.48284000000000005,0.0348
mbe_1000,gpt-5-mini,0.8,0.460998,0.011424875199901877,0.44568,0.47426,0.028579999999999994
mbe_1000,gpt-5-mini,0.85,0.414466,0.023256914957348364,0.37916,0.46314,0.08398
mbe_1000,gpt-5-mini,0.9,0.309938,0.028742293189266896,0.2642,0.37078,0.10658000000000001
mbe_1001,Llama-4-Maverick-17B-128E-Instruct-FP8,0.7,0.7610699999999999,0.05006865087057973,0.6707599999999999,0.8228200000000001,0.1520600000000002
mbe_1001,Llama-4-Maverick-17B-128E-Instruct-FP8,0.75,0.7610699999999999,0.05006865087057973,0.6707599999999999,0.8228200000000001,0.1520600000000002
mbe_1001,Llama-4-Maverick-17B-128E-Instruct-FP8,0.8,0.7582139999999999,0.0544679902327964,0.6707599999999999,0.8228200000000001,0.1520600000000002
mbe_1001,Llama-4-Maverick-17B-128E-Instruct-FP8,0.85,0.61115,0.05354340980301248,0.49846,0.69162,0.19316
mbe_1001,Llama-4-Maverick-17B-128E-Instruct-FP8,0.9,0.17725200000000002,0.060261404785041876,0.11676,0.29788000000000003,0.18112000000000003
mbe_1001,Llama-4-Scout-17B-16E-Instruct,0.7,0.6243179999999999,0.025067171005564687,0.58952,0.67622,0.0867
