biased_category	model	mean_f1	sd_f1	n	se	ci_lower	ci_upper
arab	Llama-4-Maverick-17B-128E-Instruct-FP8	0.675	0.1657	5220	0.0023	0.6705	0.6795
arab	Llama-4-Scout-17B-16E-Instruct	0.5343	0.2134	5215	0.003	0.5285	0.5401
arab	claude-haiku-4-5	0.5668	0.1707	5220	0.0024	0.5621	0.5714
arab	gemini-3.1-flash-lite	0.7974	0.1239	5220	0.0017	0.794	0.8007
arab	gpt-5-mini	0.608	0.1573	5220	0.0022	0.6037	0.6123
asian	Llama-4-Maverick-17B-128E-Instruct-FP8	0.6739	0.1629	5220	0.0023	0.6695	0.6784
asian	Llama-4-Scout-17B-16E-Instruct	0.5287	0.2161	5215	0.003	0.5228	0.5346
asian	claude-haiku-4-5	0.5681	0.1684	5220	0.0023	0.5635	0.5726
asian	gemini-3.1-flash-lite	0.7973	0.1231	5220	0.0017	0.794	0.8007
asian	gpt-5-mini	0.6087	0.1573	5220	0.0022	0.6044	0.613
black	Llama-4-Maverick-17B-128E-Instruct-FP8	0.6755	0.1628	5220	0.0023	0.6711	0.6799
black	Llama-4-Scout-17B-16E-Instruct	0.5496	0.2059	5215	0.0029	0.544	0.5552
black	claude-haiku-4-5	0.5653	0.1676	5220	0.0023	0.5607	0.5698
black	gemini-3.1-flash-lite	0.7949	0.1289	5220	0.0018	0.7914	0.7984
black	gpt-5-mini	0.607	0.158	5220	0.0022	0.6027	0.6113
female	Llama-4-Maverick-17B-128E-Instruct-FP8	0.676	0.1636	5220	0.0023	0.6715	0.6804
female	Llama-4-Scout-17B-16E-Instruct	0.5533	0.2017	5215	0.0028	0.5478	0.5588
female	claude-haiku-4-5	0.5636	0.1694	5220	0.0023	0.559	0.5682
female	gemini-3.1-flash-lite	0.7998	0.1205	5220	0.0017	0.7965	0.8031
female	gpt-5-mini	0.6077	0.1563	5220	0.0022	0.6035	0.612
hispanic	Llama-4-Maverick-17B-128E-Instruct-FP8	0.6733	0.1656	5220	0.0023	0.6688	0.6777
hispanic	Llama-4-Scout-17B-16E-Instruct	0.5286	0.2154	5215	0.003	0.5228	0.5345
hispanic	claude-haiku-4-5	0.568	0.1688	5220	0.0023	0.5634	0.5726
hispanic	gemini-3.1-flash-lite	0.7934	0.1261	5220	0.0017	0.7899	0.7968
hispanic	gpt-5-mini	0.6098	0.1575	5220	0.0022	0.6055	0.6141
homeless	Llama-4-Maverick-17B-128E-Instruct-FP8	0.6761	0.1644	5220	0.0023	0.6716	0.6805
homeless	Llama-4-Scout-17B-16E-Instruct	0.5537	0.2032	5215	0.0028	0.5481	0.5592
homeless	claude-haiku-4-5	0.5667	0.1697	5220	0.0023	0.5621	0.5713
homeless	gemini-3.1-flash-lite	0.7988	0.1212	5220	0.0017	0.7955	0.8021
homeless	gpt-5-mini	0.6079	0.1558	5220	0.0022	0.6037	0.6122
immigrant	Llama-4-Maverick-17B-128E-Instruct-FP8	0.674	0.1647	5220	0.0023	0.6696	0.6785
immigrant	Llama-4-Scout-17B-16E-Instruct	0.5427	0.2077	5215	0.0029	0.537	0.5483
immigrant	claude-haiku-4-5	0.5651	0.1687	5220	0.0023	0.5606	0.5697
immigrant	gemini-3.1-flash-lite	0.7978	0.1226	5220	0.0017	0.7944	0.8011
immigrant	gpt-5-mini	0.6087	0.1566	5220	0.0022	0.6044	0.6129
low-income	Llama-4-Maverick-17B-128E-Instruct-FP8	0.6756	0.1652	5220	0.0023	0.6711	0.6801
low-income	Llama-4-Scout-17B-16E-Instruct	0.5503	0.2075	5215	0.0029	0.5446	0.5559
low-income	claude-haiku-4-5	0.5671	0.1677	5220	0.0023	0.5626	0.5717
low-income	gemini-3.1-flash-lite	0.7986	0.1204	5220	0.0017	0.7953	0.8018
low-income	gpt-5-mini	0.6075	0.1567	5220	0.0022	0.6033	0.6118
wealthy	Llama-4-Maverick-17B-128E-Instruct-FP8	0.6771	0.1634	5220	0.0023	0.6726	0.6815
wealthy	Llama-4-Scout-17B-16E-Instruct	0.5544	0.2029	5215	0.0028	0.5489	0.5599
wealthy	claude-haiku-4-5	0.5686	0.1682	5220	0.0023	0.564	0.5731
wealthy	gemini-3.1-flash-lite	0.7968	0.1218	5220	0.0017	0.7935	0.8001
wealthy	gpt-5-mini	0.6094	0.1562	5220	0.0022	0.6052	0.6137
white	Llama-4-Maverick-17B-128E-Instruct-FP8	0.674	0.1643	5220	0.0023	0.6695	0.6784
white	Llama-4-Scout-17B-16E-Instruct	0.5534	0.2019	5215	0.0028	0.5479	0.5588
white	claude-haiku-4-5	0.5673	0.1689	5220	0.0023	0.5627	0.5718
white	gemini-3.1-flash-lite	0.7946	0.1281	5220	0.0018	0.7912	0.7981
white	gpt-5-mini	0.6074	0.1571	5220	0.0022	0.6031	0.6116
