term	coefficient	std_error	z	p_value	ci_lower	ci_upper
Intercept	0.7563	0.0151	50.245	0.0	0.7268	0.7858
C(biased_category)[T.asian]	-0.0014	0.0034	-0.415	0.6783	-0.008	0.0052
C(biased_category)[T.black]	0.0012	0.0034	0.37	0.7115	-0.0053	0.0078
C(biased_category)[T.female]	0.0019	0.0034	0.574	0.5657	-0.0046	0.0085
C(biased_category)[T.hispanic]	-0.0022	0.0034	-0.664	0.5066	-0.0088	0.0043
C(biased_category)[T.homeless]	0.0019	0.0034	0.56	0.5758	-0.0047	0.0084
C(biased_category)[T.immigrant]	-0.0004	0.0034	-0.108	0.9138	-0.0069	0.0062
C(biased_category)[T.low-income]	0.001	0.0034	0.292	0.7706	-0.0056	0.0075
C(biased_category)[T.wealthy]	0.002	0.0034	0.584	0.559	-0.0046	0.0085
C(biased_category)[T.white]	-0.0001	0.0034	-0.038	0.9698	-0.0067	0.0064
C(model)[T.Llama-4-Scout-17B-16E-Instruct]	-0.1406	0.0025	-56.354	0.0	-0.1455	-0.1357
C(model)[T.claude-haiku-4-5]	-0.1082	0.0025	-43.373	0.0	-0.1131	-0.1033
C(model)[T.gemini-3.1-flash-lite]	0.1224	0.0025	49.056	0.0	0.1175	0.1273
C(model)[T.gpt-5-mini]	-0.067	0.0025	-26.842	0.0	-0.0719	-0.0621
C(threshold)[T.0.75]	-0.0314	0.0025	-12.592	0.0	-0.0363	-0.0265
C(threshold)[T.0.8]	-0.074	0.0025	-29.652	0.0	-0.0789	-0.0691
C(threshold)[T.0.85]	-0.1283	0.0025	-51.413	0.0	-0.1332	-0.1234
C(threshold)[T.0.9]	-0.2351	0.0025	-94.223	0.0	-0.24	-0.2302
C(difficulty)[T.hard]	0.0108	0.0172	0.626	0.5314	-0.0229	0.0444
C(difficulty)[T.medium]	0.0135	0.0153	0.883	0.3772	-0.0165	0.0435
C(biased_category)[T.asian]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	-0.0046	0.0035	-1.298	0.1941	-0.0115	0.0023
C(biased_category)[T.black]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.0148	0.0035	4.197	0.0	0.0079	0.0217
C(biased_category)[T.female]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.018	0.0035	5.096	0.0	0.0111	0.0249
C(biased_category)[T.hispanic]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	-0.004	0.0035	-1.123	0.2614	-0.0109	0.003
